X:Vel_RZ-Body5-slider_crank(rad/s),Y:Vel_RZ-Body5-slider_crank(rad/s)
0.32025300,2.6123002
0.32125300,2.6166021
0.32225300,2.6208800
0.32325300,2.6251340
0.32425300,2.6293639
0.32525300,2.6335698
0.32625300,2.6377518
0.32725300,2.6419097
0.32825300,2.6460436
0.32925300,2.6501535
0.33025300,2.6542395
0.33125300,2.6583014
0.33225300,2.6623393
0.33325300,2.6663533
0.33425300,2.6703432
0.33525300,2.6743091
0.33625300,2.6782510
0.33725300,2.6821690
0.33825300,2.6860629
0.33925300,2.6899328
0.34025300,2.6937788
0.34125300,2.6976007
0.34225300,2.7013986
0.34325300,2.7051725
0.34425300,2.7089225
0.34525300,2.7126484
0.34625300,2.7163503
0.34725300,2.7200282
0.34825300,2.7236822
0.34925300,2.7273121
0.35025300,2.7309180
0.35125300,2.7345000
0.35225300,2.7380579
0.35325300,2.7415918
0.35425300,2.7451017
0.35525300,2.7485877
0.35625300,2.7520496
0.35725300,2.7554875
0.35825300,2.7589015
0.35925300,2.7622914
0.36025300,2.7656573
0.36125300,2.7689992
0.36225300,2.7723172
0.36325300,2.7756111
0.36425300,2.7788810
0.36525300,2.7821270
0.36625300,2.7853489
0.36725300,2.7885468
0.36825300,2.7917207
0.36925300,2.7948707
0.37025300,2.7979966
0.37125300,2.8010985
0.37225300,2.8041764
0.37325300,2.8072304
0.37425300,2.8102603
0.37525300,2.8132662
0.37625300,2.8162482
0.37725300,2.8192061
0.37825300,2.8221400
0.37925300,2.8250499
0.38025300,2.8279359
0.38125300,2.8307978
0.38225300,2.8336357
0.38325300,2.8364497
0.38425300,2.8392396
0.38525300,2.8420055
0.38625300,2.8447474
0.38725300,2.8474654
0.38825300,2.8501593
0.38925300,2.8528292
0.39025300,2.8554752
0.39125300,2.8580971
0.39225300,2.8606950
0.39325300,2.8632689
0.39425300,2.8658189
0.39525300,2.8683448
0.39625300,2.8708467
0.39725300,2.8733246
0.39825300,2.8757786
0.39925300,2.8782085
0.40025300,2.8806144
0.40125300,2.8829964
0.40225300,2.8853543
0.40325300,2.8876882
0.40425300,2.8899981
0.40525300,2.8922841
0.40625300,2.8945460
0.40725300,2.8967839
0.40825300,2.8989979
0.40925300,2.9011878
0.41025300,2.9033537
0.41125300,2.9054956
0.41225300,2.9076136
0.41325300,2.9097075
0.41425300,2.9117774
0.41525300,2.9138234
0.41625300,2.9158453
0.41725300,2.9178432
0.41825300,2.9198171
0.41925300,2.9217671
0.42025300,2.9236930
0.42125300,2.9255949
0.42225300,2.9274728
0.42325300,2.9293268
0.42425300,2.9311567
0.42525300,2.9329626
0.42625300,2.9347446
0.42725300,2.9365025
0.42825300,2.9382364
0.42925300,2.9399463
0.43025300,2.9416323
0.43125300,2.9432942
0.43225300,2.9449321
0.43325300,2.9465461
0.43425300,2.9481360
0.43525300,2.9497019
0.43625300,2.9512438
0.43725300,2.9527618
0.43825300,2.9542557
0.43925300,2.9557256
0.44025300,2.9571716
0.44125300,2.9585935
0.44225300,2.9599914
0.44325300,2.9613653
0.44425300,2.9627153
0.44525300,2.9640412
0.44625300,2.9653431
0.44725300,2.9666210
0.44825300,2.9678750
0.44925300,2.9691049
0.45025300,2.9703108
0.45125300,2.9714928
0.45225300,2.9726507
0.45325300,2.9737846
0.45425300,2.9748945
0.45525300,2.9759805
0.45625300,2.9770424
0.45725300,2.9780803
0.45825300,2.9790943
0.45925300,2.9800842
0.46025300,2.9810501
0.46125300,2.9819920
0.46225300,2.9829100
0.46325300,2.9838039
0.46425300,2.9846738
0.46525300,2.9855198
0.46625300,2.9863417
0.46725300,2.9871396
0.46825300,2.9879135
0.46925300,2.9886635
0.47025300,2.9893894
0.47125300,2.9900913
0.47225300,2.9907692
0.47325300,2.9914232
0.47425300,2.9920531
0.47525300,2.9926590
0.47625300,2.9932410
0.47725300,2.9937989
0.47825300,2.9943328
0.47925300,2.9948427
0.48025300,2.9953287
0.48125300,2.9957906
0.48225300,2.9962285
0.48325300,2.9966425
0.48425300,2.9970324
0.48525300,2.9973983
0.48625300,2.9977402
0.48725300,2.9980582
0.48825300,2.9983521
0.48925300,2.9986220
0.49025300,2.9988680
0.49125300,2.9990899
