X:FX_GeoContact-GeoSurContact1-complex_contact(N),Y:FX_GeoContact-GeoSurContact1-complex_contact(N),Y:FY_GeoContact-GeoSurContact1-complex_contact(N),Y:FZ_GeoContact-GeoSurContact1-complex_contact(N)
0.18203175,-0.0093370407,0.0034088870,-0.037296255
0.18303175,-0.0089768411,0.0033578729,-0.033474181
0.18403175,-0.19704622,0.037369271,-0.48234882
0.18503175,-0.0019326647,0.00036395970,-0.0047511936
0.18603175,0.0000000,0.0000000,0.0000000
0.18703175,-0.079728765,0.10914631,-0.33058140
0.18809425,0.0000000,0.0000000,0.0000000
0.18921925,0.0000000,0.0000000,0.0000000
0.19021925,-0.11492597,0.13503473,-0.47652046
0.19121925,0.0000000,0.0000000,0.0000000
0.19221925,0.0000000,0.0000000,0.0000000
0.19321925,-0.00083204169,0.0010154496,-0.0037377052
0.19421925,0.0000000,0.0000000,0.0000000
0.19546925,-0.10151693,0.13255898,-0.50073373
0.19646925,-0.010015284,0.017820091,-0.048896975
0.19746925,0.0000000,0.0000000,0.0000000
0.19846925,0.0000000,0.0000000,0.0000000
0.19946925,-0.015911404,0.023594375,-0.081384995
0.20021925,-0.0034234305,0.0045431255,-0.017929037
0.20121925,-0.00013666478,0.00014459631,-0.00074459085
0.20221925,-0.010693101,0.011299615,-0.058377558
0.20321925,-0.0085565957,0.012850650,-0.046713593
0.20421925,-0.0030880827,0.0027299602,-0.016858975
0.20509425,-0.0031632821,0.0028856108,-0.017269517
0.20609425,-0.0037903010,0.0035805256,-0.020692643
0.20709425,-0.0036781233,0.0036798960,-0.020080224
0.20809425,-0.0047238338,0.0035533236,-0.025789141
0.20921925,-0.0011206969,0.00040378854,-0.0061182953
0.21009425,-0.0088046644,0.012603858,-0.056166046
0.21103175,-0.0030868230,0.0045819418,-0.019994542
0.21203175,-0.0040187166,0.0044281801,-0.023173464
0.21315675,-0.0033338413,0.0036859607,-0.019247331
0.21415675,-0.017879858,0.033679807,-0.083696093
0.21540675,-0.0041598405,0.0077897282,-0.021325430
0.21615675,-0.00048772642,0.00089474468,-0.0032477163
0.21703175,-0.0031990172,0.0058890848,-0.020480259
0.21803175,-0.0067821902,0.012703660,-0.034635604
0.21909425,-0.0029260770,0.0053663242,-0.019549912
