X:Pos_TX-Body1-complex_contact(mm),Y:Pos_TX-Body1-complex_contact(mm),Y:Pos_TY-Body1-complex_contact(mm),Y:Pos_TZ-Body1-complex_contact(mm)
0.52003175,53.265381,46.965042,28.687210
0.52103175,53.242325,46.974153,28.694268
0.52228175,53.217974,46.987726,28.700919
0.52328175,53.202080,47.000337,28.704440
0.52428175,53.189377,47.014509,28.706302
0.52528175,53.179869,47.030243,28.706450
0.52628175,53.173557,47.047541,28.704826
0.52728175,53.170592,47.066477,28.701757
0.52803175,53.170759,47.081847,28.699059
0.52909425,53.174189,47.105183,28.694041
0.53009425,53.180718,47.128758,28.688004
0.53109425,53.190394,47.153869,28.680854
0.53209425,53.202832,47.180328,28.671709
0.53309425,53.218197,47.208218,28.659978
0.53409425,53.236856,47.237722,28.646338
0.53509425,53.258797,47.268833,28.630703
0.53609425,53.284023,47.301552,28.613042
0.53709425,53.312358,47.335889,28.593497
0.53809425,53.344296,47.373140,28.580158
0.53921925,53.381477,47.416134,28.559290
0.54000050,53.410578,47.446759,28.549707
0.54100050,53.451465,47.485007,28.542537
0.54200050,53.494351,47.521888,28.540472
0.54300050,53.537895,47.557641,28.541416
0.54400050,53.581875,47.592594,28.541966
0.54506300,53.628553,47.628543,28.543767
0.54606300,53.671450,47.660627,28.550246
0.54706300,53.713728,47.691589,28.556321
0.54806300,53.752700,47.720036,28.569322
0.54931300,53.798978,47.753971,28.581935
0.55031300,53.834440,47.780311,28.589658
0.55131300,53.868253,47.805873,28.597503
0.55231300,53.900462,47.830694,28.605397
0.55331300,53.931097,47.854780,28.613075
0.55431300,53.960146,47.878116,28.620464
0.55506300,53.980879,47.895058,28.625652
0.55600050,54.004526,47.912962,28.635854
0.55700050,54.028081,47.929408,28.645564
0.55800050,54.049974,47.943216,28.653880
0.55900050,54.070206,47.954401,28.660896
0.56000050,54.088785,47.962982,28.666684
0.56100050,54.105723,47.968988,28.671314
0.56200050,54.121028,47.972442,28.674854
0.56300050,54.134711,47.973372,28.677372
0.56400050,54.146783,47.971804,28.678939
0.56500050,54.157255,47.967768,28.679624
0.56650050,54.169998,47.957165,28.679147
0.56750050,54.176539,47.947115,28.677911
0.56850050,54.181531,47.934716,28.676002
0.56950050,54.184989,47.920001,28.673464
0.57050050,54.186816,47.902712,28.669537
0.57100050,54.187218,47.893258,28.666508
0.57200050,54.186872,47.872513,28.658732
0.57300050,54.184448,47.849380,28.652963
0.57400050,54.179931,47.825262,28.651817
0.57512550,54.173265,47.797550,28.650367
0.57600050,54.167042,47.775625,28.648260
0.57700050,54.158655,47.749956,28.644236
0.57800050,54.148624,47.723484,28.639999
0.57900050,54.136964,47.696226,28.635559
0.58000050,54.123702,47.668203,28.630876
0.58100050,54.108946,47.639437,28.624945
0.58212550,54.090234,47.605989,28.618257
0.58312550,54.071733,47.575324,28.612537
0.58412550,54.051523,47.543830,28.607059
0.58512550,54.029652,47.511561,28.601879
0.58612550,54.006863,47.478870,28.592553
0.58712550,53.982749,47.445389,28.579530
0.58812550,53.955778,47.410138,28.569094
0.58912550,53.926246,47.374491,28.559967
0.59012550,53.891948,47.343013,28.561119
0.59112550,53.855957,47.313233,28.559461
0.59206300,53.820084,47.287503,28.557558
0.59306300,53.779706,47.262229,28.554289
0.59418800,53.732915,47.237936,28.558203
0.59518800,53.691148,47.218505,28.562117
0.59643800,53.638737,47.196765,28.565986
0.59743800,53.596631,47.181471,28.568531
